(15 10 7 3 24 20 17 4 12 14 23 1 16 5 18 19 13 9 22 25 21 2 8 6 11 15) 2145.8782000 0.0004660
(15 10 3 24 20 17 4 14 23 1 16 5 18 19 13 9 22 25 21 2 8 6 11 7 12 15) 2017.7230000 0.0004956
(15 10 3 24 20 17 4 14 23 1 16 5 18 19 13 9 22 25 21 2 8 6 11 7 12 15) 2017.7230000 0.0004956
(15 4 14 25 10 11 16 7 5 18 9 12 19 21 8 6 3 17 22 13 23 1 20 24 2 15) 1757.5336000 0.0005690
(15 4 14 10 25 11 16 7 5 18 9 12 19 21 8 6 3 17 22 13 23 1 20 24 2 15) 1701.1693000 0.0005878
(15 4 14 10 25 11 16 5 17 9 12 19 21 8 6 3 18 22 13 23 1 24 20 7 2 15) 1694.5117000 0.0005901
(15 4 14 10 25 11 16 7 5 18 9 19 21 8 6 12 3 22 17 13 23 1 20 24 2 15) 1602.1802000 0.0006241
(15 4 14 10 25 11 16 7 5 18 9 19 21 8 6 12 3 22 17 13 23 1 20 24 2 15) 1602.1802000 0.0006241
(15 4 14 10 25 11 16 7 5 18 9 19 21 8 6 12 3 22 17 13 23 1 20 24 2 15) 1602.1802000 0.0006241
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 17 22 13 23 1 20 24 2 15) 1533.6287000 0.0006520
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 17 22 13 23 1 20 24 2 15) 1533.6287000 0.0006520
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 17 13 23 1 20 24 2 15) 1492.4548000 0.0006700
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 13 17 23 1 20 24 2 15) 1454.5598000 0.0006875
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 13 17 23 1 20 24 2 15) 1454.5598000 0.0006875
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 13 17 23 1 20 24 2 15) 1454.5598000 0.0006875
(15 4 14 12 10 25 11 16 7 5 18 9 19 21 8 6 3 22 13 17 23 1 20 24 2 15) 1454.5598000 0.0006875
