((-5.7970243 -4.8328958 -6.102192 -7.4226704 -7.362598 -9.043678 -12.072977 -9.593515 -11.389101 -1.1367242)
 (-5.9295435 3.3544059 -6.863437 -8.386262 -3.3177547 4.664361 5.8053126 -1.2206163 -3.2560248 1.1332906)
 (2.595362 6.6024466 -3.8731894 -3.8423212 -4.3075247 5.337091 1.526223 -2.2699425 -4.1671257 -5.850136)
 (0.06952203 2.5382063 0.16576697 3.2412295 1.3738995 -5.0542364 3.8081214 -0.59017897 -4.4292626 -4.1251473)
 (-0.09199946 2.1791465 1.2541094 7.364276 2.1846175 -8.671412 -2.6933293 -0.44916013 -3.4815042 -3.5971074)
 (-3.343787 1.3842613 -2.0394995 -6.1763096 -6.004192 11.565188 -1.3489124 -1.2112335 -9.99483 -1.052771)
 (0.4652771 -5.4268236 5.5607634 -1.3852701 1.0281459 1.1408094 -3.227184 -3.7910888 -8.048916 3.4351163)
 (0.8180549 -0.92872083 5.313059 -3.5206437 -2.1747477 1.5501506 -0.5322864 -7.9005795 -4.5696707 3.9882705)
 (1.1131738 5.7534213 2.4469023 -1.9443376 4.876671 2.1473527 -2.9148202 -4.256754 -3.4442918 -9.029017)
 (-1.1137213 -4.0231295 -4.360021 -4.286654 6.8105664 -1.0818017 -3.9083085 4.9171333 -5.6867127 3.2489874)
 (1.5418614 -4.3773575 4.627901 -1.7019202 -8.914055 4.392253 -3.2937303 1.9901744 -1.2692609 4.0538726)
 (-2.502022 1.0512514 2.6637082 -5.1587186 -5.95422 -0.14196809 4.1506186 6.298198 -2.2935038 -8.217853)
 (-1.9382529 -7.406445 -4.7265134 5.4348125 -3.0127158 -0.20410646 1.7833755 -3.2721674 2.437392 -1.8203452)
 (7.1668444 -4.0875187 -3.3017588 -1.4731183 -0.07343969 -1.2304233 1.0439919 -5.2395687 0.5951365 -7.1065693)
 (-4.951551 -1.9781079 -1.2521842 4.794425 -0.71085995 -2.4534087 -0.35843217 -2.1647644 4.6893663 -3.8063338)
 (-6.8774915 0.841483 4.669697 4.192334 -9.291327 -1.9586493 -8.008344 6.2095537 -6.9279447 -11.305674)
 (-2.948935 -0.45790005 -3.4649494 -2.5675921 -4.593555 -2.2485313 -0.11647906 6.436157 -2.6778424 -10.498091)
 (-3.6641634 -3.51349 -4.201956 -5.866908 2.3761144 2.2032697 -6.891322 -1.1142273 4.654129 -1.4931687)
 (-2.2809906 0.21820097 6.4726043 -4.7991414 -3.2073855 0.83889556 -4.979283 5.960925 2.683384 -4.077093)
 (-2.4189086 0.44203374 -1.6576841 -2.0422082 -7.5412064 -0.1153775 -2.1298668 -1.3518045 6.069452 -4.1985097)
 (-1.9778627 1.7861476 -4.1415863 0.5682976 4.57366 1.2126666 -4.1726217 -2.8094141 2.692115 -1.858467)
 (-1.3954294 9.85049 -3.7282233 -2.901016 3.755982 3.7709103 -2.614935 -4.654473 -8.226757 -1.5516269)
 (-8.535614 -4.8496447 0.6143732 3.2962432 0.3045468 5.3153806 0.20997594 -3.7560058 -5.849551 1.9138129)
 (2.966718 -2.2923853 3.3105567 -0.8244135 3.8920093 3.5954428 -2.567379 -1.4319708 -2.7680023 -8.451808)
